2021-04-06 11:13:01.471199, (1, 2), 3
2021-04-06 11:13:01.471199, (2, 3), 5
2021-04-06 11:13:01.472198, ('Hola',), Hola
Hola
2021-04-06 11:14:44.284584, (1, 2), 3
2021-04-06 11:14:44.284584, (2, 3), 5
2021-04-06 11:14:44.284584, ('Hola',), From printer: Hola, Hola

2021-04-06 12:53:27.544067, (1, 2), 3
2021-04-06 12:53:27.544067, (2, 3), 5
2021-04-06 12:53:27.545085, ('Hola',), From printer: Hola

2021-04-06 12:54:12.046515, (1, 2), 3
2021-04-06 12:54:12.047516, (2, 3), 5
2021-04-06 12:54:12.047516, ('Hola',), From printer: Hola

2021-04-06 12:54:43.145368, (1, 2), 3
2021-04-06 12:54:43.145368, (2, 3), 5
2021-04-06 12:54:43.145368, ('Hola',), From printer: Hola

2021-04-06 12:54:56.773679, (1, 2), 3
2021-04-06 12:54:56.782788, (2, 3), 5
2021-04-06 12:54:56.783444, ('Hola',), From printer: Hola

2021-04-06 12:55:13.126445, (1, 2), 3
2021-04-06 12:55:13.127400, (2, 3), 5
2021-04-06 12:55:13.127400, ('Hola',), From printer: Hola

2021-04-06 12:56:05.861928, (1, 2), 3
2021-04-06 12:56:05.862951, (2, 3), 5
2021-04-06 12:56:05.862951, ('Hola',), From printer: Hola

2021-04-06 12:56:41.435614, (1, 2), 3
2021-04-06 12:56:41.435614, (2, 3), 5
2021-04-06 12:56:41.436624, ('Hola',), From printer: Hola

2021-04-06 12:57:11.516760, (1, 2), 3
2021-04-06 12:57:11.516760, (2, 3), 5
2021-04-06 12:57:11.517758, ('Hola',), From printer: Hola

2021-04-06 13:30:01.583244, (1, 2), 3
2021-04-06 13:30:01.584246, (2, 3), 5
2021-04-06 13:30:01.584246, ('Hola',), From printer: Hola

2021-04-06 13:30:32.247201, (1, 2), 3
2021-04-06 13:30:32.247201, (2, 3), 5
2021-04-06 13:30:32.248156, ('Hola',), From printer: Hola

2021-04-06 13:31:59.035235, (1, 2), 3
2021-04-06 13:31:59.035235, (2, 3), 5
2021-04-06 13:31:59.035235, ('Hola',), From printer: Hola

2021-04-06 13:32:26.792568, (1, 2), 3
2021-04-06 13:32:26.793567, (2, 3), 5
2021-04-06 13:32:26.793567, ('Hola',), From printer: Hola

2021-04-06 13:35:48.226012, (1, 2), 3
2021-04-06 13:35:48.226012, (2, 3), 5
2021-04-06 13:35:48.227008, ('Hola',), From printer: Hola

2021-04-06 13:36:18.459254, (1, 2), 3
2021-04-06 13:36:18.460261, (2, 3), 5
2021-04-06 13:36:18.460261, ('Hola',), From printer: Hola

2021-04-06 13:39:09.777875, (1, 2), 3
2021-04-06 13:39:09.777875, (2, 3), 5
2021-04-06 13:39:09.778828, ('Hola',), From printer: Hola

2021-04-06 13:39:30.440849, (1, 2), 3
2021-04-06 13:39:30.440849, (2, 3), 5
2021-04-06 13:39:30.441849, ('Hola',), From printer: Hola

2021-04-06 13:40:49.383861, (1, 2), 3
2021-04-06 13:40:49.383861, (2, 3), 5
2021-04-06 13:40:49.384874, ('Hola',), From printer: Hola

2021-04-06 13:41:12.154089, (1, 2), 3
2021-04-06 13:41:12.155072, (2, 3), 5
2021-04-06 13:41:12.155072, ('Hola',), From printer: Hola

2021-04-06 13:41:27.222255, (1, 2), 3
2021-04-06 13:41:27.222255, (2, 3), 5
2021-04-06 13:41:27.222255, ('Hola',), From printer: Hola

2021-04-06 13:43:11.603030, (1, 2), 3
2021-04-06 13:43:11.603986, (2, 3), 5
2021-04-06 13:43:11.603986, ('Hola',), From printer: Hola

2021-04-06 13:43:33.352207, (1, 2), 3
2021-04-06 13:43:33.353207, (2, 3), 5
2021-04-06 13:43:33.353207, ('Hola',), From printer: Hola

2021-04-06 13:44:09.012629, (1, 2), 3
2021-04-06 13:44:09.012629, (2, 3), 5
2021-04-06 13:44:09.013636, ('Hola',), From printer: Hola

2021-04-06 13:44:24.320988, (1, 2), 3
2021-04-06 13:44:24.320988, (2, 3), 5
2021-04-06 13:44:24.321988, ('Hola',), From printer: Hola

2021-04-06 13:44:51.020926, (1, 2), 3
2021-04-06 13:44:51.020926, (2, 3), 5
2021-04-06 13:44:51.020926, ('Hola',), From printer: Hola

2021-04-06 13:45:05.417447, (1, 2), 3
2021-04-06 13:45:05.417447, (2, 3), 5
2021-04-06 13:45:05.417447, ('Hola',), From printer: Hola

2021-04-06 13:50:52.138330, (1, 2), 3
2021-04-06 13:50:52.138330, (2, 3), 5
2021-04-06 13:50:52.138330, ('Hola',), From printer: Hola

2021-04-06 13:52:27.989360, (1, 2), 3
2021-04-06 13:52:27.990359, (2, 3), 5
2021-04-06 13:52:27.990359, ('Hola',), From printer: Hola

2021-04-06 13:52:59.776083, (1, 2), 3
2021-04-06 13:52:59.776083, (2, 3), 5
2021-04-06 13:52:59.777037, ('Hola',), From printer: Hola

